series_name,director_name,genre,ratings,performers,ott_platform
Criminal Justice Season 2,"Rohan Sippy, Arjun Mukerjee",Unknown,3.7,"Pankaj Tripathi, Jisshu Sengupta, Deepti Naval, Kirti Kulhari, Anupriya Goenka, Mita Vashisht, Ashish Vidyarthi, Ayaz Khan, Shilpa Shukla, Adrija Sinha, Khushboo Atre, Nilofar Gheshwat, Ajeet Singh Palawat, Kalyanee Mulay",Disney+ Hotstar
Unpaused,"Tannishtha Chatterjee, Raj Nidimoru, Krishna D.K., Raj & DK, Nitya Mehra, Nikkhil Advani, Avinash Arun",Drama,4.8,"Gulshan Devaiah, Sumeet Vyas, Saiyami Kher, Richa Chadda, Abhishek Banerjee, Ratna Pathak Shah, Ishwak Singh, Rinku Rajguru, Geetika Vidya Ohlyan, Lillete Dubey, Shardul Bharadwaj",Prime Video
The Expanse Season 5,No description available,Science fiction Drama,3.531681244,"Thomas Jane, Steven Strait, Cas Anvar, Dominique Tipper, Wes Chatham, Paulo Costanzo, Florence Faivre, Shawn Doyle, Shohreh Aghdashloo, Frankie Adams, Cara Gee, Keon Alexander, Jasai Chase-Owens, Nadine Nicole",Prime Video
High School Musical: The Musical: The Holiday Special,Tim Federle,Documentary,3.531681244,"Olivia Rodrigo, Joshua Bassett, Matt Cornett, Sofia Wylie, Larry Saperstein, Julia Lester, Dara Renee, Frankie Rodriguez, Mark St. Cyr, Kate Reinders, Joe Serafini, Stephani Sosa",Disney+ Hotstar
James May: Oh Cook! Season 1,"Will Daws, Tom Whitter",Unknown,3.531681244,"James May, Nikki Morgan",Prime Video
The Wilds Season 1,"Susanna Fogel, John Polson, Cherie Nowlan, Haifaa Al-Mansour, Alison Maclean, Ed Wild, Tara Nicole Weyr, Sydney Freeland",Unknown,3.531681244,"Sophia Ali, Reign Edwards, Shannon Berry, Jenna Clause, Mia Healey, Helena Howard, Erana James, Sarah Pidgeon, David Sullivan, Troy Winbush, Rachel Griffiths",Prime Video
Alice in Borderland Season 1,Shinsuke Sato,Science fiction [ 1 ] Thriller [ 2 ] Drama [ 3 ],4.5,"Kento Yamazaki, Tao Tsuchiya, Nijirô Murakami, Yûtarô Watanabe, Shô Aoyagi, Ayaka Miyoshi, Dôri Sakurada, Aya Asahina, Tsuyoshi Abe, Riisa Naka, Takanobu Shiohara, Kenji Takagi, Seiya Goto, Yuzuru Yuyama, Eleanor Noble, Daniel Rindress-Kay, Yûki Morinaga, Keita Machida, Daniel Brochu, Wyatt Bowen, Ewan Chung, Sora Inoue",Netflix
Archer Season 11,"Chad Hurd, Pierre Cerrato, Casey Willis, Matt Thompson, Chi Duong Sato, Marcus Rosentrater, Justin Wagner",Animated sitcom Adult animation Action comedy Black comedy Adventure Workplace comedy,3.531681244,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell, Aisha Tyler, Lucky Yates, Jessica Walter",Netflix
Big Mouth Season 4,"Dave Stone, Bryan Francis, Andres Salaff",Animated sitcom Blue comedy Coming-of-age,3.531681244,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas, Jenny Slate, Fred Armisen, Maya Rudolph, Jordan Peele, Andrew Rannells, Joe Wengert, Richard Kind, Jak Knight, Jon Daly, June Diane Raphael, Paula Pell, Neil Casey, Seth Morris, Jessica Chaffin, Gil Ozeri, Mark Rivers, Chelsea Peretti, Gina Rodriguez, Kat Dennings, Ayo Edebiri, David Thewlis, Ali Wong, Maria Bamford, Thandiwe Newton, Heather Lawless, Zachary Quinto, Mark Duplass, Brandon Kyle Goodman, Paul Scheer, Jean Smart, Emily Altman, Nathan Fillion, Fran Gillespie, Julie White, Gary Cole, Natasha Lyonne, Ashley London, Rosa Salazar, Michaela Watkins, Joel Kim Booster, Crissy Guerrero, Jack Mcbrayer, Quinta Brunson, Andy Daly, Mitra Jouhari, Julie Klausner, Kristen Wiig, Sterling K. Brown, Bobby Cannavale, Willie Garson, Zach Galifianakis, Judd Hirsch, John Oliver, Alia Shawkat, Seth Rogen, Josie Totah, Brendan McKian, Lena Waithe, Harvey Fierstein, David Cross, Somali Rose, Paul Giamatti, Maya Erskine, Lynn Chen, Anna Konkle, Xosha Roquemore, Kristen Rivers, Max Silvestri, Karan Soni",Netflix
Stillwater Season 1,"Jun Falkenstein, Amber Tornquist Hollinger, Roy Burdine, Gary Hartle",Children's animation,3.531681244,"James Sie, Eva Ariel Binder, Tucker Chandler, Judah Mackey, Kari Wahlgren, Fred Tatasciore, Sydney Thomas, Fryda Wolff, Isla Farris, Andre Robinson, Robbie Daymond, Stephanie Sheh, Sirena Irwin, Alastair Duncan, Salli Saffioti",Apple TV+
